Citywide Theme,Agency Name,Agency,Indicator Name,Sub-Indicator,Desired Direction,Additive,Reporting Period,Frequency,Reporting Lag Time (Weeks),MMR Indicator,Zero Tolerance,Month,Month Value,YTD Value
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 10th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 01,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 10th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 02,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 10th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 03,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 10th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 04,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 10th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 05,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 10th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 06,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 07,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 08,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 09,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 10,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 11,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 12,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 01,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 02,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 03,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 04,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 05,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 110th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 06,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 07,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 08,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 09,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 10,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 11,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 12,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 01,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 02,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 03,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 04,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 05,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 111th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 06,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 07,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 08,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 09,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 10,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 11,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 12,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 01,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 02,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 03,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 04,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 05,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 112th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 06,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 07,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 08,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 09,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 10,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 11,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 12,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 01,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 02,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 03,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 04,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 05,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 113th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2011 / 06,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 114th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 07,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 114th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 08,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 114th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 09,,
Public Safety,New York City Police Department,NYPD,Average Response Time to crimes in progress - Critical (minutes),Average Response Time to crimes in progress - Critical (minutes) - 114th Precinct,Down,N,Fiscal Year,PMMR/MMR,8,N,N,2010 / 10,,
